Time (s),PPG_Red,PPG_IR,PPG_Green,ECG,Temp_Ambient,Temp_Object
0.0000,266,276,79,256,24.01,23.58
0.0025,269,291,99,820,24.01,23.58
0.0050,278,285,78,1437,24.01,23.58
0.0075,274,287,68,1872,24.01,23.58
0.0100,273,291,77,2369,24.01,23.58
0.0125,275,290,71,1719,24.01,23.58
0.0150,287,295,69,1117,24.01,23.58
0.0175,285,293,72,726,24.01,23.58
0.0200,277,289,64,261,24.01,23.58
0.0225,281,300,79,838,24.01,23.58
0.0250,290,289,68,1440,24.01,23.58
0.0275,284,297,74,1872,24.01,23.58
0.0300,279,287,63,2350,24.01,23.58
0.0325,278,279,64,1708,24.01,23.58
0.0350,277,279,92,1125,24.01,23.58
0.0375,277,274,74,727,24.01,23.58
0.0400,268,273,74,281,24.01,23.58
0.0425,268,286,71,857,24.01,23.58
0.0450,295,293,64,1468,24.01,23.58
0.0475,274,295,79,1901,24.01,23.58
0.0500,274,291,54,2353,24.01,23.58
0.0525,274,299,73,1689,24.01,23.58
0.0550,286,299,76,1108,24.01,23.58
0.0575,279,290,74,709,24.01,23.58
0.0600,268,270,87,256,24.01,23.58
0.0625,267,288,77,824,24.01,23.58
0.0650,283,283,78,1444,24.01,23.58
0.0675,275,282,63,1894,24.01,23.58
0.0700,272,287,60,2380,24.01,23.58
0.0725,280,281,75,1703,24.01,23.58
0.0750,279,295,69,1109,24.01,23.58
0.0775,281,286,67,700,24.01,23.58
0.0800,274,280,61,270,24.01,23.58
0.0825,275,296,75,854,24.01,23.58
0.0850,282,305,71,1442,24.01,23.58
0.0875,271,277,78,2238,24.01,23.58
0.0900,265,288,70,2336,24.01,23.58
0.0925,277,270,81,1360,24.01,23.58
0.0950,280,274,78,1085,24.01,23.58
0.0975,266,273,61,376,24.01,23.58
0.1000,266,270,67,266,24.01,23.58
0.1025,283,301,65,1139,24.01,23.58
0.1050,280,295,75,1425,24.01,23.58
0.1075,272,299,58,2248,24.01,23.58
0.1100,278,288,62,2343,24.01,23.58
0.1125,282,296,76,1380,24.01,23.58
0.1150,289,301,73,1105,24.01,23.58
0.1175,275,288,57,388,24.01,23.58
0.1200,265,278,75,279,24.01,23.58
0.1225,278,274,82,1153,24.01,23.58
0.1250,276,278,79,1440,24.01,23.58
0.1275,270,278,48,2229,24.01,23.58
0.1300,275,281,74,2294,24.01,23.58
0.1325,280,294,75,1349,24.01,23.58
0.1350,287,295,71,1089,24.01,23.58
0.1375,280,291,63,372,24.01,23.58
0.1400,268,293,54,276,24.01,23.58
0.1425,279,308,76,1149,24.01,23.58
0.1450,274,291,81,1443,24.01,23.58
0.1475,276,295,62,2241,24.01,23.58
0.1500,274,284,65,2318,24.01,23.58
0.1525,281,289,83,1369,24.01,23.58
0.1550,274,271,75,1099,24.01,23.58
0.1575,267,281,64,359,24.01,23.58
0.1600,267,287,79,273,24.01,23.58
0.1625,283,290,73,1158,24.01,23.58
0.1650,286,297,72,1455,24.01,23.58
0.1675,275,285,74,2261,24.01,23.58
0.1700,269,286,68,2303,24.01,23.58
0.1725,286,297,78,1359,24.01,23.58
0.1750,280,292,70,1105,24.01,23.58
0.1775,274,294,70,366,24.01,23.58
0.1800,267,273,80,278,24.01,23.58
