Time (s),PPG_Red,PPG_IR,PPG_Green,ECG,Temp_Ambient,Temp_Object
0.0000,248,248,79,1181,22.25,22.52
0.0025,245,249,64,3638,22.25,22.52
0.0050,244,276,80,4095,22.25,22.52
0.0075,249,271,87,2666,22.25,22.52
0.0100,249,258,66,430,22.25,22.52
0.0125,246,255,63,137,22.25,22.52
0.0150,249,263,73,33,22.25,22.52
0.0175,253,271,79,10,22.25,22.52
0.0200,256,267,75,1216,22.25,22.52
0.0225,240,265,61,3666,22.25,22.52
0.0250,242,268,78,4095,22.25,22.52
0.0275,246,257,84,2675,22.25,22.52
0.0300,248,258,90,434,22.25,22.52
0.0325,243,260,80,124,22.25,22.52
0.0350,244,258,102,20,22.25,22.52
0.0375,261,265,91,20,22.25,22.52
0.0400,250,265,79,1264,22.25,22.52
0.0425,249,258,70,3669,22.25,22.52
0.0450,245,265,79,4095,22.25,22.52
0.0475,250,265,80,2728,22.25,22.52
0.0500,253,265,86,439,22.25,22.52
0.0525,236,258,72,125,22.25,22.52
0.0550,242,253,96,24,22.25,22.52
0.0575,255,261,91,16,22.25,22.52
0.0600,247,240,80,1283,22.25,22.52
0.0625,236,231,77,3728,22.25,22.52
0.0650,251,252,74,4095,22.25,22.52
0.0675,252,263,79,2681,22.25,22.52
0.0700,238,269,65,441,22.25,22.52
0.0725,246,261,64,132,22.25,22.52
0.0750,252,270,76,34,22.25,22.52
0.0775,255,265,84,14,22.25,22.52
0.0800,250,265,85,1251,22.25,22.52
0.0825,250,261,72,3786,22.25,22.52
0.0850,243,260,86,4095,22.25,22.52
0.0875,247,257,93,1448,22.25,22.52
0.0900,252,264,74,417,22.25,22.52
0.0925,236,248,82,62,22.25,22.52
0.0950,249,259,84,30,22.25,22.52
0.0975,252,263,94,22,22.25,22.52
0.1000,248,266,70,1269,22.25,22.52
0.1025,239,256,75,4095,22.25,22.52
0.1050,246,269,68,4095,22.25,22.52
0.1075,251,263,99,1405,22.25,22.52
0.1100,241,267,63,419,22.25,22.52
0.1125,235,261,68,75,22.25,22.52
0.1150,242,267,85,24,22.25,22.52
0.1175,253,268,80,14,22.25,22.52
0.1200,247,254,80,1243,22.25,22.52
0.1225,244,247,94,4095,22.25,22.52
0.1250,250,256,88,4095,22.25,22.52
0.1275,255,266,89,1438,22.25,22.52
0.1300,246,257,85,433,22.25,22.52
0.1325,243,257,75,80,22.25,22.52
0.1350,246,265,69,28,22.25,22.52
0.1375,256,273,78,22,22.25,22.52
0.1400,247,265,73,1226,22.25,22.52
0.1425,240,258,69,4095,22.25,22.52
