Time (s),PPG_RED_RAW,PPG_IR,PPG_GREEN,ECG,T_AMBIENT,T_OBJECT,HR_GT
0.0000,32276,35088,90,1330,22.45,24.10,N/A
0.0025,32279,35088,93,1291,22.45,24.10,N/A
0.0050,32281,35094,79,1263,22.45,24.10,N/A
0.0075,32280,35095,77,1092,22.45,24.10,N/A
0.0100,32290,35096,85,994,22.45,24.10,N/A
0.0125,32284,35091,83,963,22.45,24.10,N/A
0.0150,32273,35089,97,1314,22.45,24.10,N/A
0.0175,32270,35082,99,1638,22.45,24.10,N/A
0.0200,32277,35098,93,1736,22.45,24.10,N/A
0.0225,32275,35063,89,1593,22.45,24.10,N/A
0.0250,32280,35086,86,715,22.45,24.10,N/A
0.0275,32281,35088,80,489,22.45,24.10,N/A
0.0300,32277,35099,84,768,22.45,24.10,N/A
0.0325,32284,35095,87,1179,22.45,24.10,N/A
0.0350,32283,35093,80,1505,22.45,24.10,N/A
0.0375,32278,35093,95,1424,22.45,24.10,N/A
0.0400,32283,35089,86,1430,22.45,24.10,N/A
0.0425,32273,35074,92,1392,22.45,24.10,N/A
0.0450,32274,35074,81,1248,22.45,24.10,N/A
0.0475,32276,35080,100,1083,22.45,24.10,N/A
0.0500,32273,35076,78,1065,22.45,24.10,N/A
0.0525,32271,35088,90,1289,22.45,24.10,N/A
0.0550,32270,35083,79,1467,22.45,24.10,N/A
0.0575,32281,35089,76,1453,22.45,24.10,N/A
0.0600,32286,35082,96,1300,22.45,24.10,N/A
0.0625,32278,35077,82,1228,22.45,24.10,N/A
0.0650,32286,35084,91,1202,22.45,24.10,N/A
0.0675,32279,35083,71,1279,22.45,24.10,N/A
0.0700,32281,35068,86,1465,22.45,24.10,N/A
0.0725,32272,35067,87,1556,22.45,24.10,N/A
0.0750,32277,35070,88,1297,22.45,24.10,N/A
0.0775,32270,35082,88,1336,22.45,24.10,N/A
0.0800,32284,35084,84,1090,22.45,24.10,N/A
0.0825,32273,35076,91,1034,22.45,24.10,N/A
0.0850,32276,35087,77,1142,22.45,24.10,N/A
0.0875,32282,35088,77,1308,22.45,24.10,N/A
0.0900,32287,35090,81,1328,22.45,24.10,N/A
0.0925,32271,35077,95,1485,22.45,24.10,N/A
0.0950,32282,35080,85,1660,22.45,24.10,N/A
0.0975,32272,35089,86,1421,22.45,24.10,N/A
0.1000,32275,35098,91,1073,22.45,24.10,N/A
0.1025,32283,35089,78,1006,22.45,24.10,N/A
0.1050,32291,35102,86,1256,22.45,24.10,N/A
0.1075,32282,35098,85,1208,22.45,24.10,N/A
0.1100,32284,35101,80,1136,22.45,24.10,N/A
0.1125,32282,35107,80,1384,22.45,24.10,N/A
0.1150,32292,35104,86,1517,22.45,24.10,N/A
0.1175,32287,35113,88,1474,22.45,24.10,N/A
0.1200,32284,35090,100,1376,22.45,24.10,N/A
0.1225,32280,35104,102,1028,22.45,24.10,N/A
0.1250,32275,35099,98,941,22.45,24.10,N/A
0.1275,32277,35101,87,1197,22.45,24.10,N/A
0.1300,32267,35103,80,1442,22.45,24.10,N/A
0.1325,32291,35118,91,1384,22.45,24.10,N/A
0.1350,32281,35107,78,1304,22.45,24.10,N/A
0.1375,32288,35113,85,1122,22.45,24.10,N/A
0.1400,32294,35117,81,1085,22.45,24.10,N/A
0.1425,32284,35093,93,961,22.45,24.10,N/A
0.1450,32277,35108,84,928,22.45,24.10,N/A
0.1475,32272,35091,85,1060,22.45,24.10,N/A
0.1500,32279,35096,105,1225,22.45,24.10,N/A
0.1525,32276,35098,77,1504,22.45,24.10,N/A
0.1550,32280,35094,92,1637,22.45,24.10,N/A
0.1575,32255,35115,70,1500,22.45,24.10,N/A
0.1600,32277,35109,80,1431,22.45,24.10,N/A
0.1625,32297,35094,73,1385,22.45,24.10,N/A
0.1650,32300,35091,76,1074,22.45,24.10,N/A
0.1675,32283,35092,62,1058,22.45,24.10,N/A
0.1700,32281,35081,72,1256,22.45,24.10,N/A
0.1725,32285,35075,101,1730,22.45,24.10,N/A
0.1750,32262,35104,78,1693,22.45,24.10,N/A
0.1775,32272,35107,60,1420,22.45,24.10,N/A
0.1800,32293,35094,81,1492,22.45,24.10,N/A
0.1825,32288,35090,88,1206,22.45,24.10,N/A
0.1850,32283,35103,92,744,22.45,24.10,N/A
0.1875,32278,35059,90,764,22.45,24.10,N/A
0.1900,32275,35059,55,835,22.45,24.10,N/A
0.1925,32274,35066,58,1012,22.45,24.10,N/A
0.1950,32292,35104,86,1300,22.45,24.10,N/A
0.1975,32287,35113,88,1493,22.45,24.10,N/A
0.2000,32288,35078,108,1347,22.45,24.10,N/A
0.2025,32283,35079,104,1202,22.45,24.10,N/A
0.2050,32277,35078,98,1122,22.42,24.04,N/A
0.2075,32271,35095,79,1272,22.42,24.04,N/A
0.2100,32284,35099,79,1288,22.42,24.04,N/A
0.2125,32281,35109,76,1218,22.42,24.04,N/A
0.2150,32278,35098,89,1450,22.42,24.04,N/A
0.2175,32272,35099,76,1542,22.42,24.04,N/A
0.2200,32274,35089,95,1344,22.42,24.04,N/A
0.2225,32272,35088,78,1318,22.42,24.04,N/A
0.2250,32271,35082,87,1224,22.42,24.04,N/A
0.2275,32281,35093,82,1053,22.42,24.04,N/A
0.2300,32280,35100,72,1113,22.42,24.04,N/A
0.2325,32278,35097,81,1494,22.42,24.04,N/A
0.2350,32289,35107,76,1718,22.42,24.04,N/A
0.2375,32280,35104,87,1534,22.42,24.04,N/A
0.2400,32285,35110,80,1134,22.42,24.04,N/A
0.2425,32282,35109,83,1150,22.42,24.04,N/A
0.2450,32279,35100,79,967,22.42,24.04,N/A
0.2475,32267,35081,84,914,22.42,24.04,N/A
0.2500,32272,35082,87,1247,22.42,24.04,N/A
0.2525,32283,35100,87,1391,22.42,24.04,N/A
0.2550,32281,35096,80,1508,22.42,24.04,N/A
0.2575,32279,35093,97,1456,22.42,24.04,N/A
0.2600,32283,35113,81,1396,22.42,24.04,N/A
0.2625,32270,35114,84,1163,22.42,24.04,N/A
0.2650,32280,35104,93,827,22.42,24.04,N/A
0.2675,32274,35114,86,946,22.42,24.04,N/A
0.2700,32282,35098,93,1308,22.42,24.04,N/A
0.2725,32269,35110,89,1330,22.42,24.04,N/A
0.2750,32276,35101,90,1314,22.42,24.04,N/A
0.2775,32271,35097,89,1468,22.42,24.04,N/A
0.2800,32274,35110,93,1340,22.42,24.04,N/A
0.2825,32277,35114,86,1308,22.42,24.04,N/A
0.2850,32276,35106,88,1307,22.42,24.04,N/A
0.2875,32270,35116,96,1218,22.42,24.04,N/A
0.2900,32274,35119,86,1130,22.42,24.04,N/A
0.2925,32280,35122,89,1439,22.42,24.04,N/A
0.2950,32283,35134,79,1545,22.42,24.04,N/A
0.2975,32276,35113,92,1469,22.42,24.04,N/A
0.3000,32271,35125,92,1370,22.42,24.04,N/A
0.3025,32276,35102,81,1120,22.42,24.04,N/A
0.3050,32285,35117,94,1133,22.42,24.04,N/A
0.3075,32279,35123,92,1161,22.42,24.04,N/A
0.3100,32271,35124,90,1186,22.42,24.04,N/A
0.3125,32276,35115,83,1530,22.42,24.04,N/A
0.3150,32277,35126,82,1662,22.42,24.04,N/A
0.3175,32282,35125,80,1344,22.42,24.04,N/A
0.3200,32284,35126,87,1286,22.42,24.04,N/A
0.3225,32284,35127,78,1041,22.42,24.04,N/A
0.3250,32270,35129,97,954,22.42,24.04,N/A
0.3275,32272,35120,100,1006,22.42,24.04,N/A
0.3300,32263,35099,93,1200,22.42,24.04,N/A
0.3325,32271,35120,79,1356,22.42,24.04,N/A
0.3350,32262,35123,74,1525,22.42,24.04,N/A
0.3375,32281,35132,85,1522,22.42,24.04,N/A
0.3400,32277,35125,80,1473,22.42,24.04,N/A
0.3425,32279,35133,79,1176,22.42,24.04,N/A
0.3450,32278,35130,87,1004,22.42,24.04,N/A
0.3475,32274,35123,80,1091,22.42,24.04,N/A
0.3500,32268,35124,101,1262,22.42,24.04,N/A
0.3525,32274,35113,92,1549,22.42,24.04,N/A
0.3550,32271,35129,92,1736,22.42,24.04,N/A
0.3575,32281,35099,95,1520,22.42,24.04,N/A
0.3600,32274,35113,79,1408,22.42,24.04,N/A
0.3625,32272,35124,77,1034,22.42,24.04,N/A
