Time (s),ECG,HR GT
0.0000,1244,N/A
0.0025,1280,N/A
0.0050,1291,N/A
0.0075,1261,N/A
0.0100,1237,N/A
0.0125,1243,N/A
0.0150,1296,N/A
0.0175,1312,N/A
0.0200,1269,N/A
0.0225,1206,N/A
0.0250,1152,N/A
0.0275,1130,N/A
0.0300,1152,N/A
0.0325,1208,N/A
0.0350,1248,N/A
0.0375,1280,N/A
0.0400,1280,N/A
0.0425,1285,N/A
0.0450,1232,N/A
0.0475,1160,N/A
0.0500,1089,N/A
0.0525,1082,N/A
0.0550,1110,N/A
0.0575,1176,N/A
0.0600,1259,N/A
0.0625,1320,N/A
0.0650,1344,N/A
0.0675,1344,N/A
0.0700,1321,N/A
0.0725,1300,N/A
0.0750,1288,N/A
0.0775,1272,N/A
0.0800,1248,N/A
0.0825,1232,N/A
0.0850,1225,N/A
0.0875,1216,N/A
0.0900,1188,N/A
0.0925,1168,N/A
0.0950,1147,N/A
0.0975,1145,N/A
0.1000,1203,N/A
0.1025,1261,N/A
0.1050,1304,N/A
0.1075,1312,N/A
0.1100,1284,N/A
0.1125,1238,N/A
0.1150,1185,N/A
0.1175,1138,N/A
0.1200,1113,N/A
0.1225,1136,N/A
0.1250,1188,N/A
0.1275,1266,N/A
0.1300,1368,N/A
0.1325,1424,N/A
0.1350,1411,N/A
0.1375,1320,N/A
0.1400,1224,N/A
0.1425,1152,N/A
0.1450,1096,N/A
0.1475,1105,N/A
0.1500,1161,N/A
0.1525,1265,N/A
0.1550,1366,N/A
0.1575,1401,N/A
0.1600,1365,N/A
0.1625,1265,N/A
0.1650,1204,N/A
0.1675,1193,N/A
0.1700,1232,N/A
0.1725,1324,N/A
0.1750,1408,N/A
0.1775,1445,N/A
0.1800,1413,N/A
0.1825,1360,N/A
0.1850,1297,N/A
0.1875,1256,N/A
0.1900,1216,N/A
0.1925,1189,N/A
0.1950,1178,N/A
0.1975,1200,N/A
0.2000,1217,N/A
0.2025,1218,N/A
0.2050,1212,N/A
0.2075,1253,N/A
0.2100,1316,N/A
0.2125,1352,N/A
0.2150,1408,N/A
0.2175,1450,N/A
0.2200,1456,N/A
0.2225,1440,N/A
0.2250,1386,N/A
0.2275,1314,N/A
0.2300,1216,N/A
0.2325,1152,N/A
0.2350,1112,N/A
0.2375,1131,N/A
0.2400,1178,N/A
0.2425,1212,N/A
0.2450,1202,N/A
0.2475,1193,N/A
0.2500,1233,N/A
0.2525,1288,N/A
0.2550,1264,N/A
0.2575,1258,N/A
0.2600,1224,N/A
0.2625,1248,N/A
0.2650,1207,N/A
0.2675,1157,N/A
0.2700,1124,N/A
0.2725,1152,N/A
0.2750,1264,N/A
0.2775,1385,N/A
0.2800,1432,N/A
0.2825,1396,N/A
0.2850,1344,N/A
0.2875,1257,N/A
0.2900,1188,N/A
0.2925,1180,N/A
0.2950,1180,N/A
0.2975,1172,N/A
0.3000,1156,N/A
0.3025,1121,N/A
0.3050,1116,N/A
0.3075,1125,N/A
0.3100,1123,N/A
0.3125,1110,N/A
0.3150,1116,N/A
0.3175,1132,N/A
0.3200,1156,N/A
0.3225,1188,N/A
0.3250,1216,N/A
0.3275,1237,N/A
0.3300,1237,N/A
0.3325,1234,N/A
0.3350,1225,N/A
0.3375,1211,N/A
0.3400,1250,N/A
0.3425,1346,N/A
0.3450,1432,N/A
0.3475,1472,N/A
0.3500,1464,N/A
0.3525,1409,N/A
0.3550,1350,N/A
0.3575,1280,N/A
0.3600,1225,N/A
0.3625,1184,N/A
0.3650,1170,N/A
0.3675,1216,N/A
0.3700,1274,N/A
0.3725,1340,N/A
0.3750,1352,N/A
0.3775,1358,N/A
0.3800,1336,N/A
0.3825,1304,N/A
0.3850,1249,N/A
0.3875,1184,N/A
0.3900,1168,N/A
0.3925,1200,N/A
0.3950,1220,N/A
0.3975,1216,N/A
0.4000,1202,N/A
0.4025,1217,N/A
0.4050,1297,N/A
0.4075,1330,N/A
0.4100,1365,N/A
0.4125,1336,N/A
0.4150,1289,N/A
0.4175,1284,N/A
0.4200,1328,N/A
0.4225,1384,N/A
0.4250,1409,N/A
0.4275,1400,N/A
0.4300,1336,N/A
0.4325,1258,N/A
0.4350,1202,N/A
0.4375,1168,N/A
0.4400,1224,N/A
0.4425,1317,N/A
0.4450,1416,N/A
0.4475,1472,N/A
0.4500,1456,N/A
0.4525,1393,N/A
0.4550,1313,N/A
0.4575,1224,N/A
0.4600,1157,N/A
0.4625,1136,N/A
0.4650,1152,N/A
0.4675,1226,N/A
0.4700,1290,N/A
0.4725,1328,N/A
0.4750,1336,N/A
0.4775,1313,N/A
0.4800,1264,N/A
0.4825,1216,N/A
0.4850,1189,N/A
0.4875,1174,N/A
0.4900,1193,N/A
0.4925,1240,N/A
0.4950,1266,N/A
0.4975,1234,N/A
0.5000,1192,N/A
0.5025,1156,N/A
0.5050,1160,N/A
0.5075,1176,N/A
0.5100,1212,N/A
0.5125,1248,N/A
0.5150,1265,N/A
0.5175,1312,N/A
0.5200,1328,N/A
0.5225,1344,N/A
0.5250,1353,N/A
0.5275,1376,N/A
0.5300,1400,N/A
0.5325,1408,N/A
0.5350,1408,N/A
0.5375,1388,N/A
0.5400,1380,N/A
0.5425,1369,N/A
0.5450,1365,N/A
0.5475,1352,N/A
0.5500,1333,N/A
0.5525,1264,N/A
0.5550,1229,N/A
0.5575,1266,N/A
0.5600,1328,N/A
0.5625,1396,N/A
0.5650,1417,N/A
0.5675,1411,N/A
0.5700,1421,N/A
0.5725,1418,N/A
0.5750,1408,N/A
0.5775,1396,N/A
0.5800,1376,N/A
0.5825,1354,N/A
0.5850,1312,N/A
0.5875,1269,N/A
0.5900,1200,N/A
0.5925,1138,N/A
0.5950,1108,N/A
0.5975,1130,N/A
0.6000,1186,N/A
0.6025,1205,N/A
0.6050,1173,N/A
0.6075,1114,N/A
0.6100,1105,N/A
0.6125,1173,N/A
0.6150,1265,N/A
0.6175,1344,N/A
0.6200,1752,N/A
0.6225,1801,N/A
0.6250,1864,N/A
0.6275,1920,N/A
0.6300,1956,N/A
0.6325,2080,N/A
0.6350,2184,N/A
0.6375,2320,N/A
0.6400,2464,N/A
0.6425,2592,N/A
0.6450,2664,N/A
0.6475,2696,N/A
0.6500,2656,N/A
0.6525,2568,N/A
0.6550,2472,N/A
0.6575,2400,N/A
0.6600,2320,N/A
0.6625,2224,N/A
0.6650,2132,N/A
0.6675,2060,N/A
0.6700,1972,N/A
0.6725,1874,N/A
0.6750,1760,N/A
0.6775,1608,N/A
0.6800,1452,N/A
0.6825,1272,N/A
0.6850,1098,N/A
0.6875,924,N/A
0.6900,726,N/A
0.6925,499,N/A
0.6950,363,N/A
0.6975,317,N/A
0.7000,364,N/A
0.7025,391,N/A
0.7050,384,N/A
0.7075,361,N/A
0.7100,392,N/A
0.7125,432,N/A
0.7150,497,N/A
0.7175,530,N/A
0.7200,556,N/A
0.7225,577,N/A
0.7250,584,N/A
0.7275,593,N/A
0.7300,609,N/A
0.7325,646,N/A
0.7350,694,N/A
0.7375,752,N/A
0.7400,858,N/A
0.7425,949,N/A
0.7450,982,N/A
0.7475,981,N/A
0.7500,1028,N/A
0.7525,1094,N/A
0.7550,1136,N/A
0.7575,1141,N/A
0.7600,1122,N/A
0.7625,1122,N/A
0.7650,1154,N/A
0.7675,1189,N/A
0.7700,1201,N/A
0.7725,1211,N/A
0.7750,1238,N/A
0.7775,1290,N/A
0.7800,1314,N/A
0.7825,1329,N/A
0.7850,1323,N/A
0.7875,1264,N/A
0.7900,1272,N/A
0.7925,1184,N/A
0.7950,1129,N/A
0.7975,1081,N/A
0.8000,1061,N/A
0.8025,1058,N/A
