Time (s),PPG_RED_RAW,PPG_IR_RAW,PPG_GREEN_RAW,ECG_RAW,T_AMBIENT,T_OBJECT,HR_GT
0.0000,227,186,79,2032,22.32,23.98,N/A
0.0025,216,200,83,4050,22.32,23.98,N/A
0.0050,229,201,76,4095,22.32,23.98,N/A
0.0075,225,196,84,4078,22.32,23.98,N/A
0.0100,227,192,86,1002,22.32,23.98,N/A
0.0125,227,190,78,294,22.32,23.98,N/A
0.0150,227,192,86,54,22.32,23.98,N/A
0.0175,220,175,90,69,22.32,23.98,N/A
0.0200,216,183,92,2398,22.32,23.98,N/A
0.0225,229,184,88,4095,22.32,23.98,N/A
0.0250,225,198,89,4095,22.32,23.98,N/A
0.0275,231,185,96,4074,22.32,23.98,N/A
0.0300,228,196,82,929,22.32,23.98,N/A
0.0325,236,195,81,269,22.32,23.98,N/A
0.0350,232,200,84,48,22.32,23.98,N/A
0.0375,237,199,93,21,22.32,23.98,N/A
0.0400,227,186,85,2162,22.32,23.98,N/A
0.0425,214,181,97,4095,22.32,23.98,N/A
0.0450,222,181,100,4095,22.32,23.98,N/A
0.0475,223,184,93,4095,22.32,23.98,N/A
0.0500,219,182,78,1170,22.32,23.98,N/A
0.0525,224,185,75,344,22.32,23.98,N/A
0.0550,240,196,66,61,22.32,23.98,N/A
0.0575,225,199,79,50,22.32,23.98,N/A
0.0600,232,193,73,2640,22.32,23.98,N/A
0.0625,228,192,85,4095,22.32,23.98,N/A
0.0650,224,199,82,4095,22.32,23.98,N/A
0.0675,234,194,78,4095,22.32,23.98,N/A
0.0700,229,180,92,1455,22.32,23.98,N/A
0.0725,227,170,83,426,22.32,23.98,N/A
0.0750,227,185,97,84,22.32,23.98,N/A
0.0775,218,183,86,55,22.32,23.98,N/A
0.0800,213,199,87,2603,22.32,23.98,N/A
0.0825,222,196,74,4095,22.32,23.98,N/A
0.0850,233,190,85,4095,22.32,23.98,N/A
0.0875,238,187,80,4095,22.32,23.98,N/A
0.0900,233,206,90,1789,22.32,23.98,N/A
0.0925,228,192,85,281,22.32,23.98,N/A
0.0950,236,199,79,89,22.32,23.98,N/A
0.0975,230,185,96,831,22.32,23.98,N/A
0.1000,230,177,111,3105,22.32,23.98,N/A
0.1025,219,190,75,4095,22.32,23.98,N/A
0.1050,225,187,84,3313,22.32,23.98,N/A
0.1075,228,198,95,4095,22.32,23.98,N/A
0.1100,234,198,71,1996,22.32,23.98,N/A
0.1125,228,202,79,321,22.32,23.98,N/A
0.1150,234,201,74,107,22.32,23.98,N/A
