Time (s),PPG_Red,PPG_IR,ECG_Raw,Resample Time (s),PPG_Red_Clean,PPG_IR_Clean,ECG_Clean,Suhu Obj,Suhu Amb
0.0,112362,156060,685,0.0,-1385.2955959622523,490.3041200375725,-64.61385692687472,23.57,27.29
0.0025,112954,156058,3862,0.00800073343112415,-1559.6915608891677,923.1120302943405,-9.209272832195822,23.57,27.29
0.005,111977,156105,4095,0.0160014668622483,-1650.1740935857902,1265.9858190783157,39.66594268281773,23.57,27.29
0.0075,114457,156125,3989,0.02400220029337245,-1656.743194052119,1518.925486389498,82.01178961816592,23.57,27.29
0.01,115883,156152,1247,0.0320029337244966,-1579.3988622881548,1681.931032227888,117.82826797384882,23.57,27.29
0.0125,118986,156145,194,0.040003667155620745,-1418.1410982939,1755.0024565934882,147.11537774986675,23.57,27.29
0.015,116981,156162,60,0.0480044005867449,-1015.653413604462,1629.800172687276,128.11780604394195,23.57,27.29
0.0175,116034,156170,14,0.05600513401786905,-568.5451234275288,1462.9002647526897,164.78217746970438,23.57,27.29
0.02,116863,156196,636,0.0640058674489932,-192.8838766527735,1294.719236029335,201.90948710718396,23.57,27.29
0.0225,115887,156199,3864,0.07200660088011734,12.101710932561744,1140.9069282412886,216.5005824216535,23.57,27.29
0.025,112855,156220,4095,0.08000733431124149,2.4884278130650515,1004.6623230432011,219.80150372567454,23.57,27.29
0.0275,115830,156233,3967,0.08800806774236565,-195.2601602993845,886.2372101792532,206.77636591165503,23.57,27.29
0.03,116100,156256,1232,0.0960088011734898,-491.79358655652186,786.6660794933539,190.6551282195988,23.57,27.29
0.0325,117519,156284,193,0.10400953460461394,-768.2665202537529,707.7641155555835,188.62178640905614,23.57,27.29
0.035,117749,156303,58,0.1120102680357381,-921.3219334817329,650.7108705319719,191.5472590799743,23.57,27.29
0.0375,116325,156315,13,0.12001100146686225,-901.226473252562,614.8046993126609,186.72902695076527,23.57,27.29
0.04,114875,156334,660,0.1280117348979864,-734.7730848879112,597.0446285752238,183.6561460399866,23.57,27.29
0.0425,114852,156332,3912,0.13601246832911054,-519.3085538726889,592.5444545052186,184.94076620294283,23.57,27.29
0.045,115104,156391,4095,0.1440132017602347,-372.6557026570512,595.4294862339551,180.48816017809932,23.57,27.29
0.0475,115862,156420,3892,0.15201393519135883,-372.3960227149896,599.8746973871607,181.84847210433097,23.57,27.29
0.05,113980,156443,1187,0.16001466862248298,-529.8940739255318,601.0284828323496,194.4807137794517,23.57,27.29
0.0525,114744,156485,184,0.16801540205360715,-793.8944299404629,595.5951878616332,195.1263792856384,23.57,27.29
0.055,116978,156510,58,0.1760161354847313,-1069.839272736566,581.9563495299672,169.23837337908594,23.57,27.29
0.0575,114632,156576,16,0.18401686891585545,-1250.6008741712512,559.924002022768,129.58001963369378,23.57,27.29
0.06,114260,156605,2274,0.1920176023469796,-1257.8593321305023,530.2698579347389,89.57780297967574,23.57,27.29
0.0625,112620,156632,3916,0.20001833577810374,-1086.366405664208,494.1333411420468,48.7153236158421,23.57,27.29
0.065,112977,156654,4095,0.20801906920922789,-815.5376763878367,452.5407641033234,12.293694756588414,23.57,27.29
0.0675,113772,156731,3872,0.21601980264035203,-570.6308173073434,406.226753833729,-15.234441497266097,23.57,27.29
0.07,114647,156764,635,0.2240205360714762,-462.33606871064586,355.6708433513627,-33.62956939556905,23.57,27.29
0.0725,115033,156807,187,0.23202126950260035,-543.3420489782792,301.17487470751144,-32.675263240758056,23.57,27.29
0.075,116626,156855,36,0.2400220029337245,-795.1190139135069,242.93130708990293,-18.458449716637336,23.57,27.29
