Time (s),PPG_Red,PPG_IR,PPG_Green,ECG,Temp_Ambient,Temp_Object,SpO2_Ground_Truth,HR_Ground_Truth
0.0000,30526,32668,85,1280,27.25,25.63,98,90
0.0025,30513,32634,82,1257,27.25,25.63,98,90
0.0050,30503,32610,81,1381,27.25,25.63,98,90
0.0075,30481,32580,80,1460,27.25,25.63,98,90
0.0100,30483,32543,92,1366,27.25,25.63,98,90
0.0125,30472,32498,88,1299,27.25,25.63,98,90
0.0150,30447,32469,97,1135,27.25,25.63,98,90
0.0175,30435,32430,96,905,27.25,25.63,98,90
0.0200,30429,32395,110,1140,27.25,25.63,98,90
0.0225,30409,32372,83,1360,27.25,25.63,98,90
0.0250,30396,32344,89,1232,27.25,25.63,98,90
0.0275,30392,32322,91,1068,27.25,25.63,98,90
0.0300,30379,32278,69,1115,27.25,25.63,98,90
0.0325,30369,32260,90,1249,27.25,25.63,98,90
0.0350,30359,32239,87,1364,27.25,25.63,98,90
0.0375,30345,32212,89,1103,27.25,25.63,98,90
0.0400,30343,32184,82,844,27.25,25.63,98,90
0.0425,30323,32160,85,718,27.25,25.63,98,90
0.0450,30315,32124,92,873,27.25,25.63,98,90
0.0475,30303,32102,89,825,27.25,25.63,98,90
0.0500,30293,32109,94,921,27.25,25.63,98,90
0.0525,30285,32102,91,1036,27.25,25.63,98,90
0.0550,30298,32086,74,1029,27.25,25.63,98,90
0.0575,30291,32069,84,873,27.25,25.63,98,90
0.0600,30295,32062,82,829,27.25,25.63,98,90
0.0625,30281,32050,79,836,27.25,25.63,98,90
0.0650,30283,32047,80,851,27.25,25.63,98,90
0.0675,30288,32046,87,806,27.25,25.63,98,90
0.0700,30281,32042,82,689,27.25,25.63,98,90
0.0725,30270,32026,103,799,27.25,25.63,98,90
0.0750,30261,32020,91,1006,27.25,25.63,98,90
0.0775,30273,32025,90,1010,27.25,25.63,98,90
0.0800,30267,32029,85,952,27.25,25.63,98,90
0.0825,30266,32032,95,902,27.25,25.63,98,90
0.0850,30273,32038,88,883,27.25,25.63,98,90
0.0875,30270,32038,99,778,27.25,25.63,98,90
0.0900,30277,32029,86,1120,27.25,25.63,98,90
0.0925,30268,32041,86,1060,27.25,25.63,98,90
0.0950,30284,32051,81,952,27.25,25.63,98,90
0.0975,30283,32058,80,990,27.25,25.63,98,90
0.1000,30270,32047,103,1047,27.25,25.63,98,90
0.1025,30282,32054,98,910,27.25,25.63,98,90
0.1050,30284,32065,94,1064,27.25,25.63,98,90
0.1075,30277,32079,87,1192,27.25,25.63,98,90
0.1100,30277,32078,80,1267,27.25,25.63,98,90
0.1125,30291,32071,84,1317,27.25,25.63,98,90
0.1150,30299,32077,86,1319,27.25,25.63,98,90
0.1175,30285,32093,94,1257,27.25,25.63,98,90
0.1200,30292,32088,90,1060,27.25,25.63,98,90
0.1225,30296,32100,79,1008,27.25,25.63,98,90
0.1250,30303,32102,79,1047,27.25,25.63,98,90
0.1275,30297,32078,86,986,27.25,25.63,98,90
