Time (s),PPG_Red,PPG_IR,PPG_Green,ECG,Temp_Ambient,Temp_Object,SpO2_Ground_Truth
0.0000,28884,30739,63,1056,34.04,30.45,97
0.0025,28909,30733,72,1237,34.04,30.45,97
0.0050,28878,30747,87,1040,34.04,30.45,97
0.0075,28871,30738,74,1040,34.04,30.45,97
0.0100,28868,30746,103,473,34.04,30.45,97
0.0125,28816,30501,76,1091,34.04,30.45,97
0.0150,28813,30509,74,877,34.04,30.45,97
0.0175,28877,30824,65,1040,34.04,30.45,97
0.0200,28889,30832,76,1056,34.04,30.45,97
0.0225,28914,30819,73,1008,34.04,30.45,97
0.0250,28914,30859,88,1256,34.04,30.45,97
0.0275,28945,30908,79,1016,34.04,30.45,97
0.0300,28920,30906,99,888,34.04,30.45,97
0.0325,28936,30920,104,868,34.04,30.45,97
0.0350,28949,30923,88,821,34.04,30.45,97
0.0375,28924,30935,64,996,34.04,30.45,97
0.0400,28917,30967,103,1056,34.04,30.45,97
0.0425,28916,30977,89,1059,34.04,30.45,97
0.0450,28929,30960,98,1172,34.04,30.45,97
0.0475,28952,30954,119,939,34.04,30.45,97
0.0500,28952,30975,83,841,34.04,30.45,97
0.0525,28942,31002,63,746,34.04,30.45,97
0.0550,28967,31010,71,820,34.04,30.45,97
0.0575,28992,31017,72,973,34.04,30.45,97
0.0600,28976,31028,99,1027,34.04,30.45,97
0.0625,28929,31063,86,1128,34.04,30.45,97
0.0650,28953,31079,87,1120,34.04,30.45,97
0.0675,28960,31036,107,971,34.04,30.45,97
0.0700,28976,31046,106,857,34.04,30.45,97
0.0725,28976,31090,85,680,34.04,30.45,97
0.0750,28989,31127,63,835,34.04,30.45,97
0.0775,28996,31115,60,1008,34.04,30.45,97
0.0800,29014,31125,88,1035,34.04,30.45,97
0.0825,29009,31155,82,1188,34.04,30.45,97
0.0850,29011,31169,86,1069,34.04,30.45,97
0.0875,29022,31178,69,877,34.04,30.45,97
0.0900,29023,31149,93,868,34.04,30.45,97
0.0925,29033,31134,102,726,34.04,30.45,97
0.0950,29035,31135,104,888,34.04,30.45,97
0.0975,29046,31172,82,1048,34.04,30.45,97
0.1000,29033,31214,52,1009,34.04,30.45,97
0.1025,29044,31200,75,1243,34.04,30.45,97
0.1050,29039,31216,76,978,34.04,30.45,97
0.1075,29034,31229,86,978,34.04,30.45,97
0.1100,29052,31268,105,484,34.04,30.45,97
0.1125,28936,30920,104,633,34.04,30.45,97
0.1150,28949,30923,88,973,34.04,30.45,97
0.1175,29051,31341,75,1066,34.04,30.45,97
0.1200,29073,31323,77,1074,34.04,30.45,97
0.1225,29099,31348,77,1088,34.04,30.45,97
0.1250,29105,31403,78,1184,34.04,30.45,97
0.1275,29104,31436,98,970,34.04,30.45,97
0.1300,29166,31457,109,848,34.04,30.45,97
0.1325,29158,31484,75,730,34.04,30.45,97
0.1350,29145,31506,64,813,34.04,30.45,97
0.1375,29121,31545,86,1016,34.04,30.45,97
0.1400,29153,31576,58,1018,34.04,30.45,97
0.1425,29151,31567,99,1178,34.04,30.45,97
0.1450,29165,31553,88,1109,34.04,30.45,97
0.1475,29159,31578,78,907,34.04,30.45,97
