record,start_seconds,end_seconds,spo2_ref,spo2_est,pi_red,pi_ir,ppg_hr
s10_sit,0.0,30.0,96.5,98.11,1.15,2.58,73.23
s10_sit,10.0,40.0,96.5,98.08,0.96,2.1,75.52
s10_sit,20.0,50.0,96.5,98.07,0.63,1.35,78.21
s10_sit,30.0,60.0,96.5,98.06,0.35,0.75,82.85
s10_sit,40.0,70.0,96.5,98.06,0.27,0.57,86.21
s10_sit,50.0,80.0,96.5,98.06,0.26,0.55,85.45
s10_sit,60.0,90.0,96.5,98.04,0.32,0.67,81.94
s10_sit,70.0,100.0,96.5,98.05,0.44,0.93,77.24
s10_sit,80.0,110.0,96.5,98.07,0.58,1.27,73.0
s10_sit,90.0,120.0,96.5,98.08,0.8,1.74,70.25
s10_sit,100.0,130.0,96.5,98.11,0.96,2.15,68.72
s10_sit,110.0,140.0,96.5,98.13,1.02,2.32,70.74
s10_sit,120.0,150.0,96.5,98.13,0.87,1.98,77.28
s10_sit,130.0,160.0,96.5,98.12,0.67,1.52,80.87
s10_sit,140.0,170.0,96.5,98.11,0.67,1.51,78.89
s10_sit,150.0,180.0,96.5,98.1,0.62,1.39,77.35
s10_sit,160.0,190.0,96.5,98.11,0.76,1.71,74.94
s10_sit,170.0,200.0,96.5,98.11,0.83,1.86,74.41
s10_sit,180.0,210.0,96.5,98.12,1.07,2.44,70.16
s10_sit,190.0,220.0,96.5,98.13,1.2,2.74,68.07
s10_sit,200.0,230.0,96.5,98.13,1.29,2.94,66.14
s10_sit,210.0,240.0,96.5,98.12,1.31,2.96,67.17
s10_sit,220.0,250.0,96.5,98.11,1.32,2.96,68.68
s10_sit,230.0,260.0,96.5,98.11,1.22,2.73,72.9
s10_sit,240.0,270.0,96.5,98.1,1.19,2.66,73.93
s10_sit,250.0,280.0,96.5,98.1,1.16,2.59,76.21
s10_sit,260.0,290.0,96.5,98.1,1.26,2.79,74.82
s10_sit,270.0,300.0,96.5,98.1,1.21,2.69,76.16
s10_sit,280.0,310.0,96.5,98.1,1.18,2.63,74.62
s10_sit,290.0,320.0,96.5,98.1,1.2,2.66,73.9
s10_sit,300.0,330.0,96.5,98.1,1.21,2.68,74.88
s10_sit,310.0,340.0,96.5,98.1,1.1,2.45,78.21
s10_sit,320.0,350.0,96.5,98.1,1.11,2.47,78.24
s10_sit,330.0,360.0,96.5,98.1,1.17,2.6,75.72
s10_sit,340.0,370.0,96.5,98.1,1.27,2.82,72.47
s10_sit,350.0,380.0,96.5,98.1,1.31,2.91,70.94
s10_sit,360.0,390.0,96.5,98.1,1.29,2.85,71.2
s10_sit,370.0,400.0,96.5,98.1,1.21,2.67,71.65
s10_sit,380.0,410.0,96.5,98.1,1.15,2.56,73.96
s10_sit,390.0,420.0,96.5,98.09,1.19,2.62,75.43
s10_sit,400.0,430.0,96.5,98.08,1.24,2.73,76.58
s10_sit,410.0,440.0,96.5,98.1,1.27,2.82,74.37
s10_sit,420.0,450.0,96.5,98.09,1.3,2.84,73.74
s10_sit,430.0,460.0,96.5,98.08,1.32,2.88,71.86
s10_sit,440.0,470.0,96.5,98.08,1.21,2.64,72.31
s10_sit,450.0,480.0,96.5,98.08,1.08,2.36,74.2
s10_sit,455.684,485.684,96.5,98.08,1.0,2.17,73.9
s11_sit,0.0,30.0,97.5,98.41,0.06,0.18,64.57
s11_sit,10.0,40.0,97.5,98.29,0.08,0.21,68.39
s11_sit,20.0,50.0,97.5,98.32,0.08,0.23,72.14
s11_sit,30.0,60.0,97.5,98.19,0.09,0.23,72.47
s11_sit,40.0,70.0,97.5,98.17,0.1,0.23,72.57
s11_sit,50.0,80.0,97.5,98.13,0.11,0.24,73.08
s11_sit,60.0,90.0,97.5,98.18,0.11,0.27,73.78
s11_sit,70.0,100.0,97.5,98.13,0.14,0.31,72.86
s11_sit,80.0,110.0,97.5,98.14,0.13,0.3,74.98
s11_sit,90.0,120.0,97.5,98.11,0.12,0.27,75.89
s11_sit,100.0,130.0,97.5,98.09,0.12,0.27,74.2
s11_sit,110.0,140.0,97.5,98.12,0.14,0.32,68.19
s11_sit,120.0,150.0,97.5,98.11,0.16,0.37,68.85
s11_sit,130.0,160.0,97.5,98.14,0.18,0.42,67.85
s11_sit,140.0,170.0,97.5,98.12,0.19,0.43,69.26
s11_sit,150.0,180.0,97.5,98.1,0.19,0.42,68.57
s11_sit,160.0,190.0,97.5,98.1,0.18,0.41,68.0
s11_sit,170.0,200.0,97.5,98.13,0.17,0.39,72.16
s11_sit,180.0,210.0,97.5,98.15,0.16,0.37,73.31
s11_sit,190.0,220.0,97.5,98.12,0.15,0.35,75.11
s11_sit,200.0,230.0,97.5,98.12,0.17,0.39,71.36
s11_sit,210.0,240.0,97.5,98.11,0.19,0.43,69.41
s11_sit,220.0,250.0,97.5,98.11,0.22,0.49,67.59
s11_sit,230.0,260.0,97.5,98.11,0.22,0.49,67.89
s11_sit,240.0,270.0,97.5,98.12,0.2,0.45,68.89
s11_sit,250.0,280.0,97.5,98.14,0.16,0.37,72.92
s11_sit,260.0,290.0,97.5,98.15,0.13,0.31,74.7
s11_sit,270.0,300.0,97.5,98.16,0.11,0.26,74.2
s11_sit,280.0,310.0,97.5,98.14,0.09,0.21,70.91
s11_sit,290.0,320.0,97.5,98.11,0.08,0.18,71.35
s11_sit,300.0,330.0,97.5,98.13,0.08,0.17,70.8
s11_sit,310.0,340.0,97.5,98.12,0.09,0.19,72.8
s11_sit,320.0,350.0,97.5,98.17,0.08,0.2,72.34
s11_sit,330.0,360.0,97.5,98.15,0.09,0.2,74.78
s11_sit,340.0,370.0,97.5,98.15,0.09,0.21,76.28
s11_sit,350.0,380.0,97.5,98.11,0.11,0.24,74.44
